CT.POS,CAMERA.ID,ORIENT,GAIT,DIST,wet.dry,LOIT,TRIGGER,AIR,ABS.DIFF
A,BS,L,W,4,wet,0,1,4.69,3.49
A,BV,L,W,4,wet,0,1,4.69,3.49
C,A,L,W,2,dry,0,1,4.69,3.59
C,BV,L,W,2,dry,0,1,4.69,3.59
C,BS,L,W,2,dry,0,0,4.69,3.59
BW,A,A,W,2.5,wet,1,1,6.42,1.76
BW,BS,A,W,2.5,wet,1,1,6.42,1.76
BW,BV,A,W,2.5,wet,1,1,6.42,1.76
BL,A,L,W,1,dry,0,1,6.58,1.6
BL,BS,L,W,1,dry,0,1,6.58,1.6
BL,BV,L,W,1,dry,0,1,6.58,1.6
A,A,L,W,3.5,dry,0,1,6.31,1.87
A,BS,L,W,3.5,dry,0,1,6.31,1.87
A,BV,L,W,3.5,dry,0,1,6.31,1.87
C,A,L,W,3.5,dry,0,1,6.31,1.87
C,BV,L,W,3.5,dry,0,1,6.31,1.87
C,BS,L,W,3.5,dry,0,1,6.31,1.87
BL,A,L,W,1,dry,1,1,3.53,3.95
BL,BS,L,W,1,dry,1,1,3.53,3.95
BL,BV,L,W,1,dry,1,1,3.53,3.95
A,A,L,W,3.5,dry,1,1,3.53,3.95
A,BS,L,W,3.5,dry,0,1,3.53,3.95
A,BV,L,W,3.5,dry,0,1,3.53,3.95
C,A,L,W,3.5,dry,0,0,3.53,3.95
C,BV,L,W,3.5,dry,0,1,3.53,3.95
C,A,L,T,10,dry,0,0,3.53,3.95
C,BV,L,T,10,dry,0,0,3.53,3.95
A,A,L,W,4,dry,0,1,3.76,3.72
A,BS,L,W,4,dry,0,1,3.76,3.72
A,BV,L,W,4,dry,0,1,3.76,3.72
C,A,L,W,3,dry,0,1,3.76,3.72
C,BV,L,W,3,dry,0,1,3.76,3.72
BW,A,P,W,NA,dry,0,1,3.76,3.72
BW,BS,P,W,NA,dry,0,1,3.76,3.72
BW,BV,P,W,NA,dry,0,1,3.76,3.72
A,A,L,T,4,dry,0,1,3.76,3.72
A,BS,L,T,4,dry,0,0,3.76,3.72
C,A,L,T,3,dry,0,1,3.76,3.72
C,BV,L,T,3,dry,0,1,3.76,3.72
A,A,L,T,1,dry,1,1,2.91,3.36
A,BS,L,T,1,dry,1,1,2.91,3.36
A,BV,L,T,1,dry,1,1,2.91,3.36
A,A,L,W,3,dry,1,1,2.91,3.36
A,BS,L,W,3,dry,1,1,2.91,3.36
A,BV,L,W,3,dry,1,1,2.91,3.36
C,A,L,R,7,dry,1,0,2.91,3.36
C,BV,L,R,7,dry,1,0,2.91,3.36
BL,A,L,W,1,dry,1,1,6.48,0.19
BL,BS,L,W,1,dry,1,1,6.48,0.19
BL,BV,L,W,1,dry,1,1,6.48,0.19
A,A,L,W,2,dry,0,1,6.48,0.19
A,BS,L,W,2,dry,0,0,6.48,0.19
A,BV,L,W,2,dry,0,1,6.48,0.19
C,A,L,W,5,dry,0,0,6.48,0.19
C,BV,L,W,5,dry,0,0,6.48,0.19
A,BS,L,W,3,wet,0,1,7.13,3.81
A,BV,L,W,3,wet,0,1,7.13,3.81
C,A,L,W,4,wet,1,0,7.13,3.81
C,BS,L,W,4,wet,1,1,7.13,3.81
C,BV,L,W,4,wet,1,1,7.13,3.81
C,A,L,W,1,wet,0,1,8.23,2.71
C,BS,L,W,1,wet,0,1,8.23,2.71
C,BV,L,W,1,wet,0,1,8.23,2.71
A,A,L,W,6,wet,0,0,8.23,2.71
A,BS,L,W,6,wet,0,1,8.23,2.71
A,BV,L,W,6,wet,0,0,8.23,2.71
BW,A,A,W,2.5,wet,0,1,8.23,2.71
BW,BS,A,W,2.5,wet,0,1,8.23,2.71
BW,BV,A,W,2.5,wet,0,1,8.23,2.71
C,A,L,T,2,wet,0,1,8.23,2.71
C,BS,L,T,2,wet,0,1,8.23,2.71
C,BV,L,T,2,wet,0,1,8.23,2.71
A,A,L,T,5,wet,1,1,8.23,2.71
A,BS,L,T,5,wet,1,1,8.23,2.71
A,BV,L,T,5,wet,1,0,8.23,2.71
BW,A,A,W,2.5,wet,0,1,8.97,1.97
BW,BS,A,W,2.5,wet,0,1,8.97,1.97
BW,BV,A,W,2.5,wet,0,1,8.97,1.97
A,A,L,W,4,wet,1,0,8.97,1.97
A,BS,L,W,4,wet,1,1,8.97,1.97
A,BV,L,W,4,wet,1,0,8.97,1.97
A,A,L,W,5,wet,0,0,8.97,1.97
A,BS,L,W,5,wet,0,1,8.97,1.97
A,BV,L,W,5,wet,0,0,8.97,1.97
BW,A,A,W,2.5,wet,0,1,8.97,1.97
BW,BS,A,W,2.5,wet,0,1,8.97,1.97
BW,BV,A,W,2.5,wet,0,1,8.97,1.97
C,A,L,W,3,wet,0,0,8.97,1.97
C,BS,L,W,3,wet,0,1,8.97,1.97
C,BV,L,W,3,wet,0,1,8.97,1.97
A,A,L,W,4,wet,0,0,8.97,1.97
A,BS,L,W,4,wet,0,1,8.97,1.97
A,BV,L,W,4,wet,0,1,8.97,1.97
C,A,L,R,3,dry,0,1,8.97,1.97
C,BS,L,R,3,dry,0,1,8.97,1.97
C,BV,L,R,3,dry,0,1,8.97,1.97
A,A,L,R,4,dry,0,1,8.97,1.97
A,BS,L,R,4,dry,0,1,8.97,1.97
A,BV,L,R,4,dry,0,1,8.97,1.97
BW,A,A,R,2.5,dry,0,1,8.97,1.97
BW,BS,A,R,2.5,dry,0,1,8.97,1.97
BW,BV,A,R,2.5,dry,0,1,8.97,1.97
A,A,L,R,2,dry,0,0,6.48,0.19
A,BS,L,R,2,dry,0,1,6.48,0.19
A,BV,L,R,2,dry,0,1,6.48,0.19
C,A,L,R,5,dry,0,1,6.48,0.19
C,BV,L,R,5,dry,0,0,6.48,0.19
BL,A,L,W,1,dry,0,1,0.91,4.85
BL,BS,L,W,1,dry,0,1,0.91,4.85
BL,BV,L,W,1,dry,0,1,0.91,4.85
BL,A,L,T,7,dry,0,1,0.91,4.85
BL,BS,L,T,7,dry,0,1,0.91,4.85
BL,BV,L,T,7,dry,0,0,0.91,4.85
A,A,L,T,1,dry,0,1,0.91,4.85
A,BS,L,T,1,dry,0,1,0.91,4.85
A,BV,L,T,1,dry,0,1,0.91,4.85
C,A,L,T,6,dry,0,1,0.91,4.85
C,BV,L,T,6,dry,0,1,0.91,4.85
A,A,L,R,8,dry,0,0,0.91,4.85
A,BS,L,R,8,dry,0,0,0.91,4.85
A,BV,L,R,8,dry,0,0,0.91,4.85
BL,A,L,W,1,dry,1,1,0.91,4.85
BL,BS,L,W,1,dry,1,1,0.91,4.85
BL,BV,L,W,1,dry,1,1,0.91,4.85
BL,A,L,W,1,dry,0,1,0.91,4.85
BL,BS,L,W,1,dry,0,1,0.91,4.85
BL,BV,L,W,1,dry,0,1,0.91,4.85
BL,A,L,T,6,dry,0,0,0.88,4.88
BL,BS,L,T,6,dry,0,0,0.88,4.88
BL,BV,L,T,6,dry,0,0,0.88,4.88
BL,A,L,T,10,dry,1,0,0.88,4.88
BL,BS,L,T,10,dry,1,0,0.88,4.88
BL,BV,L,T,10,dry,1,0,0.88,4.88
BL,A,L,W,1,dry,0,1,0.86,5
BL,BS,L,W,1,dry,0,1,0.86,5
BL,BV,L,W,1,dry,0,1,0.86,5
BL,A,L,W,1,dry,0,1,0.86,5.1
BL,BS,L,W,1,dry,0,1,0.86,5.1
BL,BV,L,W,1,dry,0,1,0.86,5.1
BL,A,L,T,1,dry,0,0,0.86,5.1
BL,BS,L,T,1,dry,0,1,0.86,5.1
BL,BV,L,T,1,dry,0,0,0.86,5.1
BL,A,L,T,1,dry,0,1,0.86,5.1
BL,BS,L,T,1,dry,0,1,0.86,5.1
BL,BV,L,T,1,dry,0,1,0.86,5.1
BL,A,L,W,1,dry,0,1,3.54,1.91
BL,BS,L,W,1,dry,0,1,3.54,1.91
BL,BV,L,W,1,dry,0,1,3.54,1.91
BL,A,L,W,1,dry,0,1,7.29,1.63
BL,BS,L,W,1,dry,0,1,7.29,1.63
BL,BV,L,W,1,dry,0,1,7.29,1.63
BW,A,P,T,NA,dry,0,1,8.41,2.55
BW,BS,P,T,NA,dry,0,1,8.41,2.55
BW,BV,P,T,NA,dry,0,1,8.41,2.55
C,A,L,W,8,dry,0,0,0.86,5
C,BV,L,W,8,dry,0,0,0.86,5
A,A,L,W,2,dry,0,1,6.57,0.3
A,BS,L,W,2,dry,0,1,6.57,0.3
C,A,L,W,5,dry,0,1,6.57,0.3
C,BV,L,W,5,dry,0,1,6.57,0.3
C,A,L,W,7,dry,0,0,6.57,0.3
C,BV,L,W,7,dry,0,0,6.57,0.3
BL,A,L,W,1,dry,0,1,9.42,2.34
BL,BS,L,W,1,dry,0,1,9.42,2.34
BL,BV,L,W,1,dry,0,1,9.42,2.34
C,A,L,T,4,dry,0,1,9.42,2.34
C,BV,L,T,4,dry,0,NA,9.42,2.34
BL,A,L,W,1,dry,1,1,6.57,0.3
BL,BS,L,W,1,dry,1,0,6.57,0.3
BL,BV,L,W,1,dry,1,0,6.57,0.3
C,A,L,W,10,dry,1,0,6.57,0.3
BL,A,L,W,1,dry,0,1,5.33,1.85
BL,BS,L,W,1,dry,0,1,5.33,1.85
BL,BV,L,W,1,dry,0,1,5.33,1.85
BL,A,L,W,1,dry,0,1,7.87,0.59
BL,BS,L,W,1,dry,0,1,7.87,0.59
BL,BV,L,W,1,dry,0,1,7.87,0.59
